Fecha;Lugar;Casos por dia;Muertes por dia;Casos;Muertes;;;;;;;;;;
04/08/14;Guinea-Conakry;58;39;485;358;;;;;;;;;;
23/07/14;Guinea-Conakry;12;5;427;319;;;;;;;;;;
20/07/14;Guinea-Conakry;5;4;415;314;;;;;;;;;;
18/07/14;Guinea-Conakry;4;6;410;310;;;;;;;;;;
15/07/14;Guinea-Conakry;-3;-5;406;304;;;;;;;;;;
10/07/14;Guinea-Conakry;1;2;409;309;;;;;;;;;;
08/07/14;Guinea-Conakry;-5;4;408;307;;;;;;;;;;
02/07/14;Guinea-Conakry;23;33;413;303;;;;;;;;;;
24/06/14;Guinea-Conakry;-8;6;390;270;;;;;;;;;;
18/06/14;Guinea-Conakry;26;28;398;264;;;;;;;;;;
10/06/14;Guinea-Conakry;28;21;372;236;;;;;;;;;;
05/06/14;Guinea-Conakry;53;22;344;215;;;;;;;;;;
02/06/14;Guinea-Conakry;10;7;291;193;;;;;;;;;;
27/05/14;Guinea-Conakry;23;12;281;186;;;;;;;;;;
23/05/14;Guinea-Conakry;25;17;258;174;;;;;;;;;;
14/05/14;Guinea-Conakry;2;2;233;157;;;;;;;;;;
05/05/14;Guinea-Conakry;10;9;231;155;;;;;;;;;;
30/04/14;Guinea-Conakry;13;10;221;146;;;;;;;;;;
23/04/14;Guinea-Conakry;5;7;208;136;;;;;;;;;;
21/04/14;Guinea-Conakry;6;7;203;129;;;;;;;;;;
17/04/14;Guinea-Conakry;40;21;197;122;;;;;;;;;;
10/04/14;Guinea-Conakry;6;6;157;101;;;;;;;;;;
07/04/14;Guinea-Conakry;24;12;151;95;;;;;;;;;;
02/04/14;Guinea-Conakry;5;3;127;83;;;;;;;;;;
01/04/14;Guinea-Conakry;10;10;122;80;;;;;;;;;;
31/03/14;Guinea-Conakry;9;4;112;70;;;;;;;;;;
27/03/14;Guinea-Conakry;17;6;103;66;;;;;;;;;;
26/03/14;Guinea-Conakry;0;1;86;60;;;;;;;;;;
25/03/14;Guinea-Conakry;86;59;86;59;;;;;;;;;;
01/02/14;Guinea-Conakry;1;0;1;0;;;;;;;;;;
04/08/14;Liberia;219;126;468;255;;;;;;;;;;
23/07/14;Liberia;25;2;249;129;;;;;;;;;;
20/07/14;Liberia;28;11;224;127;;;;;;;;;;
18/07/14;Liberia;24;11;196;116;;;;;;;;;;
15/07/14;Liberia;30;17;172;105;;;;;;;;;;
10/07/14;Liberia;11;4;142;88;;;;;;;;;;
08/07/14;Liberia;24;19;131;84;;;;;;;;;;
02/07/14;Liberia;56;31;107;65;;;;;;;;;;
24/06/14;Liberia;18;10;51;34;;;;;;;;;;
18/06/14;Liberia;20;15;33;24;;;;;;;;;;
10/06/14;Liberia;0;0;13;9;;;;;;;;;;
05/06/14;Liberia;0;0;13;9;;;;;;;;;;
02/06/14;Liberia;1;0;13;9;;;;;;;;;;
27/05/14;Liberia;0;0;12;9;;;;;;;;;;
23/05/14;Liberia;0;0;12;9;;;;;;;;;;
14/05/14;Liberia;0;0;12;9;;;;;;;;;;
05/05/14;Liberia;0;0;12;9;;;;;;;;;;
30/04/14;Liberia;0;0;12;9;;;;;;;;;;
23/04/14;Liberia;0;0;12;9;;;;;;;;;;
21/04/14;Liberia;0;0;12;9;;;;;;;;;;
17/04/14;Liberia;0;0;12;9;;;;;;;;;;
10/04/14;Liberia;0;2;12;9;;;;;;;;;;
07/04/14;Liberia;4;2;12;7;;;;;;;;;;
02/04/14;Liberia;0;3;8;5;;;;;;;;;;
01/04/14;Liberia;6;2;8;2;;;;;;;;;;
31/03/14;Liberia;2;0;2;0;;;;;;;;;;
01/02/14;Liberia;0;0;0;0;;;;;;;;;;
04/08/14;Sierra Leona;121;49;646;273;;;;;;;;;;
23/07/14;Sierra Leona;71;5;525;224;;;;;;;;;;
20/07/14;Sierra Leona;12;13;454;219;;;;;;;;;;
18/07/14;Sierra Leona;56;12;442;206;;;;;;;;;;
15/07/14;Sierra Leona;49;52;386;194;;;;;;;;;;
10/07/14;Sierra Leona;32;15;337;142;;;;;;;;;;
08/07/14;Sierra Leona;66;28;305;127;;;;;;;;;;
02/07/14;Sierra Leona;81;65;239;99;;;;;;;;;;
24/06/14;Sierra Leona;61;-15;158;34;;;;;;;;;;
18/06/14;Sierra Leona;8;42;97;49;;;;;;;;;;
10/06/14;Sierra Leona;8;0;89;7;;;;;;;;;;
05/06/14;Sierra Leona;31;1;81;7;;;;;;;;;;
02/06/14;Sierra Leona;34;1;50;6;;;;;;;;;;
27/05/14;Sierra Leona;12;4;16;5;;;;;;;;;;
04/08/14;Nigeria;3;1;4;1;;;;;;;;;;
27/07/14;Nigeria;1;0;1;0;;;;;;;;;;
